15, 255, 15,
15, 249, 15,
15, 243, 15,
15, 237, 15,
15, 231, 15,
15, 225, 15,
14, 219, 14,
14, 213, 14,
14, 207, 14,
14, 201, 14,
13, 195, 13,
13, 189, 13,
13, 183, 13,
13, 177, 13,
13, 171, 13,
12, 165, 12,
12, 159, 12,
12, 153, 12,
12, 147, 12,
11, 141, 11,
11, 135, 11,
11, 129, 11,
11, 123, 11,
10, 117, 10,
10, 111, 10,
10, 105, 10,
9, 99, 9,
9, 93, 9,
9, 87, 9,
9, 81, 9,
8, 75, 8,
8, 69, 8,
7, 63, 7,
7, 57, 7,
7, 51, 7,
6, 45, 6,
6, 39, 6,
5, 33, 5,
5, 27, 5,
4, 21, 4,
3, 15, 3,
3, 9, 3,
1, 3, 1,
